instance1 29349.3
instance2 1824.53
instance3 179177
instance4 400.826
instance5 483.594
instance6 569.088
instance7 316.352
instance8 180008
instance9 60964.7
instance10 1014.66
instance11 38565.3
instance12 181676
instance13 8055.41
instance14 180292
instance15 180438
instance16 110160
instance17 180002
instance18 180008
instance19 180003
instance20 655.743
instance21 24572.8
instance22 470.551
instance23 5867.14
instance24 85925.7
instance25 12065.1
instance26 2856.45
instance27 348.582
instance28 180007
instance29 31493.1
instance30 27903.6
instance31 13619.1
instance32 7834.05
instance33 12289.2
instance34 299.148
instance35 495.444
instance36 2033.44
instance37 152.253
instance38 1244.48
instance39 990.073
instance40 51.8387
instance41 73.9169
instance42 5724.3
instance43 562.044
instance44 565.724
instance45 2636.58
instance46 572.437
instance47 520.229
instance48 9265.16
instance49 3806.45
instance50 51744
instance51 0.197542
instance52 180078
instance53 180513
instance54 180474
instance55 180002
instance56 1352.43
instance57 17338.2
instance58 180062
instance59 57306.8
instance60 156.331
instance61 262.602
instance62 40657.7
instance63 20844.2
instance64 52075.4
instance65 145159
instance66 4596.41
instance67 53909.4
instance68 17623.8
instance69 892.491
instance70 1331.34
instance71 18709.6
instance72 65.48
instance73 87.1187
instance74 180001
instance75 17.2779
instance76 333.935
instance77 0.188977
instance78 180001
instance79 4159.35
instance80 5792.69
instance81 2054.08
instance82 3185.04
instance83 45485.5
instance84 180001
instance85 180001
instance86 180001
instance87 180029
instance88 180026
instance89 4313.75
instance90 134.562
instance91 947.926
instance92 776.271
instance93 559.684
instance94 239.828
instance95 719.961
instance96 759.503
instance97 1831.84
instance98 3329.51
instance99 4426.76
instance100 188909
