"BM_prop_random/0/1/2/8192",121,6.75841,6.75847,ms,,,,,
"BM_prop_random/1/1/2/8192",137,5.09065,5.09069,ms,,,,,
"BM_prop_random/2/1/2/8192",119,6.31861,6.3186,ms,,,,,
"BM_prop_random/3/1/2/8192",43,15.5292,15.5292,ms,,,,,
"BM_prop_random/4/1/2/8192",165,4.26293,4.26295,ms,,,,,
"BM_prop_random/5/1/2/8192",135,4.99758,4.99758,ms,,,,,
"BM_prop_random/6/1/2/8192",294,2.29392,2.2939,ms,,,,,
"BM_prop_random/7/1/2/8192",94,7.22758,7.22754,ms,,,,,
"BM_prop_random/8/1/2/8192",297,2.38716,2.38715,ms,,,,,
"BM_prop_random/0/2/2/8192",1000,6.94209,0.181463,ms,,,,,
"BM_prop_random/1/2/2/8192",1000,5.47429,0.185438,ms,,,,,
"BM_prop_random/2/2/2/8192",1000,6.5181,0.185342,ms,,,,,
"BM_prop_random/3/2/2/8192",1000,15.7867,0.175033,ms,,,,,
"BM_prop_random/4/2/2/8192",1000,4.44762,0.169573,ms,,,,,
"BM_prop_random/5/2/2/8192",1000,5.2013,0.178405,ms,,,,,
"BM_prop_random/6/2/2/8192",1000,2.54498,0.10275,ms,,,,,
"BM_prop_random/7/2/2/8192",1000,7.26294,0.159086,ms,,,,,
"BM_prop_random/8/2/2/8192",1000,2.62189,0.0623268,ms,,,,,
"BM_prop_random/0/4/2/8192",1000,6.96105,0.199853,ms,,,,,
"BM_prop_random/1/4/2/8192",1000,5.50361,0.169088,ms,,,,,
"BM_prop_random/2/4/2/8192",1000,6.52476,0.17503,ms,,,,,
"BM_prop_random/3/4/2/8192",1000,15.7015,0.171201,ms,,,,,
"BM_prop_random/4/4/2/8192",1000,4.62085,0.174761,ms,,,,,
"BM_prop_random/5/4/2/8192",1000,5.2561,0.174133,ms,,,,,
"BM_prop_random/6/4/2/8192",10828,2.55097,0.0878005,ms,,,,,
"BM_prop_random/7/4/2/8192",1000,7.55178,0.175122,ms,,,,,
"BM_prop_random/8/4/2/8192",1000,2.67912,0.126291,ms,,,,,
"BM_prop_random/0/8/2/8192",1000,6.99572,0.17101,ms,,,,,
"BM_prop_random/1/8/2/8192",1000,5.55358,0.173354,ms,,,,,
"BM_prop_random/2/8/2/8192",1000,6.53854,0.182163,ms,,,,,
"BM_prop_random/3/8/2/8192",1000,15.9667,0.182551,ms,,,,,
"BM_prop_random/4/8/2/8192",1000,4.59426,0.178069,ms,,,,,
"BM_prop_random/5/8/2/8192",1000,5.26558,0.166784,ms,,,,,
"BM_prop_random/6/8/2/8192",1000,2.54385,0.103168,ms,,,,,
"BM_prop_random/7/8/2/8192",1000,7.51085,0.152358,ms,,,,,
"BM_prop_random/8/8/2/8192",1000,2.73325,0.129953,ms,,,,,
"BM_prop_random/0/16/2/8192",1000,7.01859,0.182,ms,,,,,
"BM_prop_random/1/16/2/8192",1000,5.56339,0.175965,ms,,,,,
"BM_prop_random/2/16/2/8192",1000,6.53044,0.170588,ms,,,,,
"BM_prop_random/3/16/2/8192",1000,16.0147,0.174617,ms,,,,,
