launch_id,test_group,input_name,config_name,result,dur,finished_at,,,exp_u1m_09.04,exp_u1m_09.04
16893,m21-u1m,sat_Circuit_multiplier22.cnf,32_wop_p6-5_sing_rbs_ea.json,PASSED,0.00,2022-04-09 17:09:19,55.8125,32_wop_p6-5_sing_rbs_ea.json,460,2
16903,m21-u1m,sat_Circuit_multiplier22.cnf,32_wop_p6-5_sing_rbs_ga.json,PASSED,0.00,2022-04-09 17:16:48,17.625,32_wop_p6-5_sing_rbs_ga.json,448,2
17033,m21-u1m,sat_Circuit_multiplier22.cnf,32_wop_ps6-5_rec_cart_ea.json,TLE,0.00,2022-04-09 19:23:21,89.10416667,32_wop_ps6-5_rec_cart_ea.json,695,5
17043,m21-u1m,sat_Circuit_multiplier22.cnf,32_wop_ps6-5_rec_cart_ga.json,TLE,0.00,2022-04-09 19:34:36,89.10416667,32_wop_ps6-5_rec_cart_ga.json,675,6
17013,m21-u1m,sat_Circuit_multiplier22.cnf,32_wop_ps6-5_rec_rbs_ea.json,TLE,0.00,2022-04-09 19:01:52,89.10416667,32_wop_ps6-5_rec_rbs_ea.json,532,4
17023,m21-u1m,sat_Circuit_multiplier22.cnf,32_wop_ps6-5_rec_rbs_ga.json,TLE,0.00,2022-04-09 19:11:46,89.10416667,32_wop_ps6-5_rec_rbs_ga.json,594,5
16993,m21-u1m,sat_Circuit_multiplier22.cnf,32_wop_ps6-5_sing_cart_ea.json,TLE,0.00,2022-04-09 18:45:05,89.10416667,32_wop_ps6-5_sing_cart_ea.json,539,4
17003,m21-u1m,sat_Circuit_multiplier22.cnf,32_wop_ps6-5_sing_cart_ga.json,PASSED,0.00,2022-04-09 18:53:00,4.895833333,32_wop_ps6-5_sing_cart_ga.json,475,4
16973,m21-u1m,sat_Circuit_multiplier22.cnf,32_wop_ps6-5_sing_rbs_ea.json,TLE,0.00,2022-04-09 18:27:02,89.10416667,32_wop_ps6-5_sing_rbs_ea.json,503,3
16983,m21-u1m,sat_Circuit_multiplier22.cnf,32_wop_ps6-5_sing_rbs_ga.json,PASSED,0.00,2022-04-09 18:36:06,87.14583333,32_wop_ps6-5_sing_rbs_ga.json,544,2
16633,m21-u1m,sat_Circuit_multiplier22.cnf,32_wop_s1-32_rec_cart_ea.json,TLE,0.00,2022-04-09 12:34:41,89.10416667,32_wop_s1-32_rec_cart_ea.json,644,6
16643,m21-u1m,sat_Circuit_multiplier22.cnf,32_wop_s1-32_rec_cart_ga.json,PASSED,0.00,2022-04-09 12:45:41,28.39583333,32_wop_s1-32_rec_cart_ga.json,660,6
16613,m21-u1m,sat_Circuit_multiplier22.cnf,32_wop_s1-32_rec_rbs_ea.json,TLE,0.00,2022-04-09 12:14:14,89.10416667,32_wop_s1-32_rec_rbs_ea.json,638,6
16623,m21-u1m,sat_Circuit_multiplier22.cnf,32_wop_s1-32_rec_rbs_ga.json,TLE,0.00,2022-04-09 12:23:57,89.10416667,32_wop_s1-32_rec_rbs_ga.json,583,4
16593,m21-u1m,sat_Circuit_multiplier22.cnf,32_wop_s1-32_sing_cart_ea.json,TLE,0.00,2022-04-09 11:54:40,89.10416667,32_wop_s1-32_sing_cart_ea.json,654,6
