Duration: 300
step,size,rho,fit
272,13,0.987,14.4
273,13,0.987,14.4
274,13,0.987,14.4
275,13,0.987,14.4
276,13,0.987,14.4
277,13,0.987,14.4
278,13,0.987,14.4
279,13,0.987,14.4
280,13,0.987,14.4
281,13,0.987,14.4
282,13,0.987,14.4
283,13,0.987,14.4
284,13,0.987,14.4
285,13,0.987,14.4
286,13,0.987,14.4
287,13,0.987,14.4
288,13,0.987,14.4
289,13,0.987,14.4
290,13,0.987,14.4
291,13,0.987,14.4
292,13,0.987,14.4
293,13,0.987,14.4
294,13,0.987,14.4
295,13,0.987,14.4
296,13,0.987,14.4
297,13,0.987,14.4
298,13,0.987,14.4
299,13,0.987,14.4
300,13,0.987,14.4
301,13,0.987,14.4
302,13,0.987,14.4
303,13,0.987,14.4
304,13,0.987,14.4
305,13,0.987,14.4
306,13,0.987,14.4
307,13,0.987,14.4
308,13,0.987,14.4
309,13,0.987,14.4
310,13,0.987,14.4
311,13,0.987,14.4
312,13,0.987,14.4
313,13,0.987,14.4
314,13,0.987,14.4
315,13,0.987,14.4
316,13,0.987,14.4
317,13,0.987,14.4
318,13,0.987,14.4
319,13,0.987,14.4
320,13,0.987,14.4
321,13,0.987,14.4
322,13,0.987,14.4
323,13,0.987,14.4
324,13,0.987,14.4
325,13,0.987,14.4
326,13,0.987,14.4
327,13,0.987,14.4
328,13,0.987,14.4
329,13,0.987,14.4
330,13,0.987,14.4
331,13,0.987,14.4
332,13,0.987,14.4
333,13,0.987,14.4
334,13,0.987,14.4
335,13,0.987,14.4
336,13,0.987,14.4
337,13,0.987,14.4
338,13,0.987,14.4
339,13,0.987,14.4
340,13,0.987,14.4
341,13,0.987,14.4
342,13,0.987,14.4
343,13,0.987,14.4
344,13,0.987,14.4
345,13,0.987,14.4
346,13,0.987,14.4
347,13,0.987,14.4
348,13,0.987,14.4
349,13,0.987,14.4
350,13,0.987,14.4
351,13,0.987,14.4
352,13,0.987,14.4
353,13,0.987,14.4
354,13,0.987,14.4
355,13,0.987,14.4
356,13,0.987,14.4
357,13,0.987,14.4
358,13,0.987,14.4
359,13,0.987,14.4
360,13,0.987,14.4
361,13,0.987,14.4
362,13,0.987,14.4
363,13,0.987,14.4
364,13,0.987,14.4
365,13,0.987,14.4
366,13,0.987,14.4
367,13,0.987,14.4
368,13,0.987,14.4
369,13,0.987,14.4
370,13,0.987,14.4
371,13,0.987,14.4
372,13,0.987,14.4
373,13,0.987,14.4
374,13,0.987,14.4
375,13,0.987,14.4
376,13,0.987,14.4
377,13,0.987,14.4
378,13,0.987,14.4
379,13,0.987,14.4
380,13,0.987,14.4
381,13,0.987,14.4
382,13,0.987,14.4
383,13,0.987,14.4
384,13,0.987,14.4
385,13,0.987,14.4
386,13,0.987,14.4
387,13,0.987,14.4
388,13,0.987,14.4
389,13,0.987,14.4
390,13,0.987,14.4
391,13,0.987,14.4
392,13,0.987,14.4
