Duration: 300
step,size,rho,fit
268,13,0.971,15.2
269,13,0.971,15.2
270,13,0.971,15.2
271,13,0.971,15.2
272,13,0.971,15.2
273,14,0.982,15.1
274,14,0.982,15.1
275,13,0.982,14.7
276,13,0.982,14.7
277,13,0.982,14.7
278,13,0.982,14.7
279,13,0.982,14.7
280,13,0.982,14.7
281,13,0.982,14.7
282,13,0.982,14.7
283,13,0.982,14.7
284,13,0.982,14.7
285,13,0.982,14.7
286,13,0.982,14.7
287,13,0.982,14.7
288,13,0.982,14.7
289,13,0.982,14.7
290,13,0.982,14.7
291,13,0.982,14.7
292,13,0.982,14.7
293,13,0.982,14.7
294,13,0.982,14.7
295,13,0.982,14.7
296,13,0.982,14.7
297,13,0.982,14.7
298,13,0.982,14.7
299,13,0.982,14.7
300,13,0.982,14.7
301,13,0.982,14.7
302,13,0.982,14.7
303,13,0.982,14.7
304,13,0.982,14.7
305,13,0.982,14.7
306,13,0.982,14.7
307,13,0.982,14.7
308,13,0.982,14.7
309,13,0.982,14.7
310,13,0.982,14.7
311,13,0.982,14.7
312,13,0.982,14.7
313,13,0.982,14.7
314,13,0.982,14.7
315,13,0.982,14.7
316,13,0.982,14.7
317,13,0.982,14.7
318,13,0.982,14.7
319,13,0.982,14.7
320,13,0.982,14.7
321,13,0.982,14.7
322,13,0.982,14.7
323,13,0.982,14.7
324,13,0.982,14.7
325,13,0.982,14.7
326,13,0.982,14.7
327,13,0.982,14.7
328,13,0.982,14.7
329,13,0.982,14.7
330,13,0.982,14.7
331,13,0.982,14.7
332,13,0.982,14.7
333,13,0.982,14.7
334,13,0.982,14.7
335,13,0.982,14.7
336,13,0.982,14.7
337,13,0.982,14.7
338,13,0.982,14.7
339,13,0.982,14.7
340,13,0.982,14.7
341,13,0.982,14.7
342,13,0.982,14.7
343,13,0.982,14.7
344,13,0.982,14.7
345,13,0.982,14.7
346,13,0.982,14.7
347,13,0.982,14.7
348,13,0.982,14.7
349,13,0.982,14.7
350,13,0.982,14.7
351,13,0.982,14.7
352,13,0.982,14.7
353,13,0.982,14.7
354,13,0.982,14.7
355,13,0.982,14.7
356,13,0.982,14.7
357,13,0.982,14.7
358,13,0.982,14.7
359,13,0.982,14.7
360,13,0.982,14.7
361,13,0.982,14.7
362,13,0.982,14.7
363,13,0.982,14.7
364,13,0.982,14.7
365,13,0.982,14.7
