Duration: 300
step,size,rho,fit
290,12,0.996,13
291,12,0.996,13
292,12,0.996,13
293,12,0.996,13
294,12,0.996,13
295,12,0.996,13
296,12,0.996,13
297,12,0.996,13
298,12,0.996,13
299,12,0.996,13
300,12,0.996,13
301,12,0.996,13
302,12,0.996,13
303,12,0.996,13
304,12,0.996,13
305,12,0.996,13
306,12,0.996,13
307,12,0.996,13
308,12,0.996,13
309,12,0.996,13
310,12,0.996,13
311,12,0.996,13
312,12,0.996,13
313,12,0.996,13
314,12,0.996,13
315,12,0.996,13
316,12,0.996,13
317,12,0.996,13
318,12,0.996,13
319,12,0.996,13
320,12,0.996,13
321,12,0.996,13
322,12,0.996,13
323,12,0.996,13
324,12,0.996,13
325,12,0.996,13
326,12,0.996,13
327,12,0.996,13
328,12,0.996,13
329,12,0.996,13
330,12,0.996,13
331,12,0.996,13
332,12,0.996,13
333,12,0.996,13
334,12,0.996,13
335,12,0.996,13
336,12,0.996,13
337,12,0.996,13
338,12,0.996,13
339,12,0.996,13
340,12,0.996,13
341,12,0.996,13
342,12,0.996,13
343,12,0.996,13
344,12,0.996,13
345,12,0.996,13
346,12,0.996,13
347,12,0.996,13
348,12,0.996,13
349,12,0.996,13
350,12,0.996,13
351,12,0.996,13
352,12,0.996,13
353,12,0.996,13
354,12,0.996,13
355,12,0.996,13
356,12,0.996,13
357,12,0.996,13
358,12,0.996,13
359,12,0.996,13
360,12,0.996,13
361,12,0.996,13
362,12,0.996,13
363,12,0.996,13
364,12,0.996,13
365,12,0.996,13
366,12,0.996,13
367,12,0.996,13
368,12,0.996,13
369,12,0.996,13
370,12,0.996,13
371,12,0.996,13
372,12,0.996,13
373,12,0.996,13
374,12,0.996,13
375,12,0.996,13
376,12,0.996,13
377,12,0.996,13
378,12,0.996,13
379,12,0.996,13
380,12,0.996,13
381,12,0.996,13
382,12,0.996,13
383,12,0.996,13
384,12,0.996,13
385,12,0.996,13
386,12,0.996,13
387,12,0.996,13
388,12,0.996,13
389,12,0.996,13
390,12,0.996,13
391,12,0.996,13
392,12,0.996,13
393,12,0.996,13
394,12,0.996,13
395,12,0.996,13
396,12,0.996,13
397,12,0.996,13
398,12,0.996,13
399,12,0.996,13
400,12,0.996,13
401,12,0.996,13
402,12,0.996,13
403,12,0.996,13
404,12,0.996,13
405,12,0.996,13
406,12,0.996,13
407,12,0.996,13
408,12,0.996,13
409,12,0.996,13
410,12,0.996,13
411,12,0.996,13
412,12,0.996,13
413,12,0.996,13
414,12,0.996,13
415,12,0.996,13
416,12,0.996,13
417,12,0.996,13
