Duration: 300
step,size,rho,fit
266,14,0.958,15.9
267,14,0.958,15.9
268,14,0.958,15.9
269,14,0.958,15.9
270,14,0.958,15.9
271,14,0.958,15.9
272,14,0.958,15.9
273,14,0.958,15.9
274,14,0.958,15.9
275,14,0.958,15.9
276,14,0.958,15.9
277,14,0.958,15.9
278,14,0.958,15.9
279,14,0.958,15.9
280,14,0.958,15.9
281,14,0.958,15.9
282,14,0.958,15.9
283,14,0.958,15.9
284,14,0.958,15.9
285,14,0.958,15.9
286,14,0.958,15.9
287,14,0.958,15.9
288,14,0.958,15.9
289,14,0.958,15.9
290,14,0.958,15.9
291,14,0.958,15.9
292,14,0.958,15.9
293,14,0.958,15.9
294,14,0.958,15.9
295,14,0.958,15.9
296,14,0.958,15.9
297,14,0.958,15.9
298,14,0.958,15.9
299,14,0.958,15.9
300,14,0.958,15.9
301,14,0.958,15.9
302,14,0.958,15.9
303,14,0.958,15.9
304,14,0.958,15.9
305,14,0.958,15.9
306,14,0.958,15.9
307,14,0.958,15.9
308,14,0.958,15.9
309,14,0.958,15.9
310,14,0.958,15.9
311,14,0.958,15.9
312,14,0.958,15.9
313,14,0.958,15.9
314,14,0.958,15.9
315,14,0.958,15.9
316,14,0.958,15.9
317,14,0.958,15.9
318,14,0.958,15.9
319,14,0.958,15.9
320,14,0.958,15.9
321,14,0.958,15.9
322,14,0.958,15.9
323,14,0.958,15.9
324,14,0.958,15.9
325,14,0.958,15.9
326,14,0.958,15.9
327,14,0.958,15.9
328,14,0.958,15.9
329,14,0.958,15.9
330,14,0.958,15.9
331,14,0.958,15.9
332,14,0.958,15.9
333,14,0.958,15.9
334,14,0.958,15.9
335,14,0.958,15.9
336,14,0.958,15.9
337,14,0.958,15.9
338,14,0.958,15.9
339,14,0.958,15.9
340,14,0.958,15.9
341,14,0.958,15.9
342,14,0.958,15.9
343,14,0.958,15.9
344,14,0.958,15.9
345,14,0.958,15.9
346,14,0.958,15.9
347,14,0.958,15.9
348,14,0.958,15.9
349,14,0.958,15.9
350,14,0.958,15.9
351,14,0.958,15.9
352,14,0.958,15.9
353,14,0.958,15.9
354,14,0.958,15.9
355,14,0.958,15.9
356,14,0.958,15.9
357,14,0.958,15.9
358,14,0.958,15.9
359,14,0.958,15.9
360,14,0.958,15.9
361,14,0.958,15.9
362,14,0.958,15.9
363,14,0.958,15.9
364,14,0.958,15.9
365,14,0.958,15.9
366,14,0.958,15.9
367,14,0.958,15.9
368,14,0.958,15.9
369,14,0.958,15.9
370,14,0.958,15.9
371,14,0.958,15.9
372,14,0.958,15.9
373,14,0.958,15.9
374,14,0.958,15.9
375,14,0.958,15.9
376,14,0.958,15.9
377,14,0.958,15.9
378,14,0.958,15.9
379,14,0.958,15.9
380,14,0.958,15.9
381,14,0.958,15.9
382,14,0.958,15.9
383,14,0.958,15.9
384,14,0.958,15.9
385,14,0.958,15.9
386,14,0.958,15.9
387,14,0.958,15.9
388,14,0.958,15.9
389,14,0.958,15.9
390,14,0.958,15.9
391,14,0.958,15.9
392,14,0.958,15.9
393,14,0.958,15.9
394,14,0.958,15.9
395,14,0.958,15.9
396,14,0.958,15.9
397,14,0.958,15.9
398,14,0.958,15.9
399,14,0.958,15.9
400,14,0.958,15.9
401,14,0.958,15.9
402,14,0.958,15.9
403,14,0.958,15.9
404,14,0.958,15.9
405,14,0.958,15.9
406,14,0.958,15.9
407,14,0.958,15.9
408,14,0.958,15.9
409,14,0.958,15.9
410,14,0.958,15.9
411,14,0.958,15.9
